layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,eff_rank_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
1,3,subspace_adaptive,10,26,260,2bit_budget,10,1.5593039807168658e-05,0.002922967866662809,7.77980291259116e-06,0.00291818047060016,0.421875
1,3,full_dim,128,4,512,4bit_budget,10,1.2186357122004978e-06,0.0008336337737348399,6.081275198058594e-07,0.0008324302278199894,0.7890625
1,3,subspace_k64_fixed,64,8,512,4bit_budget,10,1.1398357385891511e-06,0.0008067585273637117,5.631780136902344e-07,0.0008023193098001404,0.7890625
1,3,subspace_adaptive,10,51,510,4bit_budget,10,0.0005296027097410529,0.01761983194128551,4.063145407479649e-05,0.00657801907450431,0.0
1,4,full_dim,128,2,256,2bit_budget,11,3.9874418250212904e-05,0.004761678917925758,1.9894921438656644e-05,0.004757929126369318,0.3359375
1,4,subspace_k64_fixed,64,4,256,2bit_budget,11,3.7373083216309987e-06,0.0014655992983861165,1.8658089602383854e-06,0.00146427948476691,0.6796875
1,4,subspace_adaptive,11,23,253,2bit_budget,11,1.4688992745826672e-05,0.002888181009981848,7.134088045692035e-06,0.0028525199753153215,0.4609375
1,4,full_dim,128,4,512,4bit_budget,11,1.6036519418338392e-06,0.0009693792874825428,7.963384593631469e-07,0.0009657676173826456,0.76171875
1,4,subspace_k64_fixed,64,8,512,4bit_budget,11,2.189445464578072e-06,0.0011018311794367855,1.0914397412953493e-06,0.0010997258822521673,0.7578125
1,4,subspace_adaptive,11,47,517,4bit_budget,11,0.0010120983607414327,0.025596779166331306,5.714934294784145e-05,0.007945967391744187,0.0
1,5,full_dim,128,2,256,2bit_budget,18,3.200846915025416e-05,0.004372820869590236,1.59640428030009e-05,0.004365682465044667,0.35546875
1,5,subspace_k64_fixed,64,4,256,2bit_budget,18,3.648898857683731e-06,0.0014616783458474922,1.8034725604323614e-06,0.0014531652011007946,0.67578125
1,5,subspace_adaptive,18,14,252,2bit_budget,18,1.1437070570424828e-05,0.0026128903502556262,5.681216378632983e-06,0.002604852029858796,0.421875
1,5,full_dim,128,4,512,4bit_budget,18,1.2258438656798104e-06,0.0008596894608248016,6.113541080620516e-07,0.0008584255300447535,0.7734375
