config,position,loss,ppl
baseline,367,13.8671875,inf
baseline,368,0.413330078125,1.51171875
baseline,369,0.033111572265625,1.033203125
baseline,370,0.00017821788787841797,1.0
baseline,371,1.505859375,4.5078125
baseline,372,1.6025390625,4.96484375
baseline,373,0.452880859375,1.5732421875
baseline,374,9.6640625,15744.0
baseline,375,1.259765625,3.525390625
baseline,376,0.603515625,1.828125
baseline,377,0.0012712478637695312,1.0009765625
baseline,378,12.6796875,inf
baseline,379,2.638671875,13.9921875
baseline,380,0.55224609375,1.7373046875
baseline,381,1.015625,2.76171875
baseline,382,6.3125,551.5
baseline,383,0.931640625,2.5390625
baseline,384,5.3203125,204.5
baseline,385,0.00441741943359375,1.0048828125
baseline,386,7.4609375,1739.0
baseline,387,0.0003237724304199219,1.0
baseline,388,3.158203125,23.53125
baseline,389,5.32421875,205.25
baseline,390,0.00632476806640625,1.005859375
baseline,391,6.46484375,642.0
baseline,392,0.8720703125,2.392578125
baseline,393,0.2420654296875,1.2734375
baseline,394,-0.0,1.0
baseline,395,7.9609375,2866.0
baseline,396,0.206787109375,1.2294921875
baseline,397,0.9853515625,2.6796875
baseline,398,0.8671875,2.380859375
baseline,399,0.623046875,1.8642578125
baseline,400,0.79541015625,2.21484375
baseline,401,0.1923828125,1.2119140625
baseline,402,0.0081329345703125,1.0078125
baseline,403,3.041015625,20.921875
baseline,404,1.7705078125,5.875
baseline,405,5.77734375,323.0
baseline,406,1.2841796875,3.611328125
baseline,407,5.48046875,240.0
baseline,408,0.0005245208740234375,1.0009765625
baseline,409,4.08984375,59.71875
baseline,410,0.000537872314453125,1.0009765625
baseline,411,6.05078125,424.5
baseline,412,0.01496124267578125,1.0146484375
baseline,413,1.1220703125,3.0703125
baseline,414,0.155517578125,1.16796875
baseline,415,0.175048828125,1.19140625
baseline,416,6.33203125,562.5
baseline,417,0.24365234375,1.2763671875
baseline,418,1.51953125,4.5703125
baseline,419,2.75,15.640625
baseline,420,4.4375,84.5625
baseline,421,1.7744140625,5.8984375
baseline,422,0.491943359375,1.6357421875
baseline,423,1.392578125,4.0234375
baseline,424,0.62646484375,1.87109375
baseline,425,5.09765625,163.625
baseline,426,0.033843994140625,1.0341796875
baseline,427,1.42578125,4.16015625
baseline,428,1.7841796875,5.953125
baseline,429,5.38671875,218.5
baseline,430,0.9638671875,2.62109375
baseline,431,0.044342041015625,1.044921875
baseline,432,0.1336669921875,1.142578125
baseline,433,0.095458984375,1.1005859375
baseline,434,6.723403930664062e-05,1.0
baseline,435,2.2172927856445312e-05,1.0
baseline,436,1.6689300537109375e-05,1.0
baseline,437,2.9802322387695312e-06,1.0
baseline,438,0.82861328125,2.291015625
baseline,439,0.38427734375,1.46875
baseline,440,0.00039267539978027344,1.0
baseline,441,2.86102294921875e-06,1.0
