reference,compare,layer,head,kv_type,overlap,n_principal_angles,mean_cos2
early,mid_late,28,6,V,0.7379628419876099,64,0.7379628419876099
early,mid_late,28,7,K,0.8359054327011108,64,0.8359054327011108
early,mid_late,28,7,V,0.6424354314804077,64,0.6424354314804077
early,mid_late,29,0,K,0.8267741203308105,64,0.8267741203308105
early,mid_late,29,0,V,0.6404588222503662,64,0.6404588222503662
early,mid_late,29,1,K,0.7843919992446899,64,0.7843919992446899
early,mid_late,29,1,V,0.7198347449302673,64,0.7198347449302673
early,mid_late,29,2,K,0.8345993161201477,64,0.8345993161201477
early,mid_late,29,2,V,0.6089456677436829,64,0.6089456677436829
early,mid_late,29,3,K,0.8020672798156738,64,0.8020672798156738
early,mid_late,29,3,V,0.7205973267555237,64,0.7205973267555237
early,mid_late,29,4,K,0.926612913608551,64,0.926612913608551
early,mid_late,29,4,V,0.7175854444503784,64,0.7175854444503784
early,mid_late,29,5,K,0.75110924243927,64,0.75110924243927
early,mid_late,29,5,V,0.6804424524307251,64,0.6804424524307251
early,mid_late,29,6,K,0.828338623046875,64,0.828338623046875
early,mid_late,29,6,V,0.6306731700897217,64,0.6306731700897217
early,mid_late,29,7,K,0.7178197503089905,64,0.7178197503089905
early,mid_late,29,7,V,0.6962617039680481,64,0.6962617039680481
early,mid_late,30,0,K,0.796657145023346,64,0.796657145023346
early,mid_late,30,0,V,0.6220263242721558,64,0.6220263242721558
early,mid_late,30,1,K,0.8014571666717529,64,0.8014571666717529
early,mid_late,30,1,V,0.6348628997802734,64,0.6348628997802734
early,mid_late,30,2,K,0.9096269011497498,64,0.9096269011497498
early,mid_late,30,2,V,0.696119487285614,64,0.696119487285614
early,mid_late,30,3,K,0.750236988067627,64,0.750236988067627
early,mid_late,30,3,V,0.6711351871490479,64,0.6711351871490479
early,mid_late,30,4,K,0.7703290581703186,64,0.7703290581703186
early,mid_late,30,4,V,0.6687267422676086,64,0.6687267422676086
early,mid_late,30,5,K,0.8555591106414795,64,0.8555591106414795
early,mid_late,30,5,V,0.6254429817199707,64,0.6254429817199707
early,mid_late,30,6,K,0.756236732006073,64,0.756236732006073
