layer,head,method,k,n_bits,bits_per_vector,eff_rank_K_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
33,4,subspace_k16,16,64,1024,46.0,5811.169639070872,58.7216259613401,5.365336908699198,1.9850816832572293,0.00390625
33,4,subspace_k32,32,32,1024,46.0,3871.149046418694,48.61767499227933,22.845814031914195,1.9999995996358149,0.0
33,4,subspace_k48,48,21,1008,46.0,115.72090027168495,8.40667619529184,4.308073248738792,0.9197054030350311,0.53515625
33,4,subspace_k64,64,16,1024,46.0,80.68951446210299,7.033237381355379,3.054508736372842,0.7641327499274215,0.6171875
33,5,full_dim,128,2,256,28.0,1171.9628500919348,26.861218285607187,10.957790855139038,1.165989104593983,0.421875
33,5,subspace_k16,16,16,256,28.0,923.9557915259468,23.663712438840776,9.5603210841846,1.1111675480372847,0.4375
33,5,subspace_k32,32,8,256,28.0,367.2441321829393,14.97552933080615,5.145205534128799,0.7770739974496446,0.609375
33,5,subspace_k48,48,5,240,28.0,211.518569697398,11.385701333580837,3.9841493644744888,0.6690897236539161,0.6640625
33,5,subspace_k64,64,4,256,28.0,166.62328544166672,10.141267705842502,3.3535129318762134,0.5686232238494848,0.7109375
33,5,full_dim,128,4,512,28.0,46.593057077440584,5.362296659471596,1.0939465428554482,0.3555775954844802,0.81640625
33,5,subspace_k16,16,32,512,28.0,27859.443693371395,131.07241800816496,22.936489335787126,1.9999999999999951,0.0
33,5,subspace_k32,32,16,512,28.0,367.03367799998944,14.970323874944338,5.1373983300782715,0.7774359278410188,0.60546875
33,5,subspace_k48,48,11,528,28.0,201.63829221551424,11.10480816582815,3.810063042272803,0.6556448345319206,0.67578125
33,5,subspace_k64,64,8,512,28.0,118.13005886302587,8.531613413294464,2.1274452306721656,0.47721644985762046,0.75390625
33,5,full_dim,128,8,1024,28.0,0.15594330413173194,0.3107099686124711,0.0037054892658536774,0.021459767687105384,0.984375
33,5,subspace_k16,16,64,1024,28.0,30086.369641288038,135.48898341518952,5.455815828933285,1.9891077821359175,0.0
33,5,subspace_k32,32,32,1024,28.0,27596.01676672671,129.60001098367403,22.93648933999418,2.0,0.0
33,5,subspace_k48,48,21,1008,28.0,201.62063449823455,11.104263568229406,3.807248026787151,0.6555281224359785,0.67578125
33,5,subspace_k64,64,16,1024,28.0,118.01001975352759,8.526711985856888,2.1228616799840614,0.47886797521497887,0.76171875
33,6,full_dim,128,2,256,42.0,103.58265734152715,7.922876397627661,6.663898630666262,1.1628920504432485,0.41796875
33,6,subspace_k16,16,16,256,42.0,96.08001213707936,7.656401741561839,6.586948981958834,1.301378602988593,0.34765625
33,6,subspace_k32,32,8,256,42.0,58.73342528718892,5.999738520543978,4.209032674505563,1.05759701076517,0.4609375
33,6,subspace_k48,48,5,240,42.0,40.8366694278026,5.002569822512245,3.1840434885291513,0.9237326884442235,0.53515625
33,6,subspace_k64,64,4,256,42.0,28.465906749197117,4.175120720990945,2.105383553272396,0.8420146573185499,0.56640625
33,6,full_dim,128,4,512,42.0,3.957709404778983,1.5600755945965317,0.38867717121061923,0.35642532958817114,0.796875
33,6,subspace_k16,16,32,512,42.0,1576.3488354955202,30.458665971109284,22.551062575437122,1.9999506158613616,0.0
33,6,subspace_k32,32,16,512,42.0,58.73560830301028,5.999198666017458,4.211805119248487,1.0575474368171316,0.45703125
33,6,subspace_k48,48,11,528,42.0,40.08602123811944,4.956856391067015,3.180299044714034,0.9280181567122618,0.53515625
33,6,subspace_k64,64,8,512,42.0,24.554281562922757,3.8640555937802437,1.7671391975762298,0.7331223405183407,0.625
33,6,full_dim,128,8,1024,42.0,0.014318356456160565,0.0937021475245793,0.0013391453002892996,0.02241121194765293,0.97265625
33,6,subspace_k16,16,64,1024,42.0,2097.5726376387825,36.47300485599693,5.24914406528719,1.9796493005144407,0.0
33,6,subspace_k32,32,32,1024,42.0,1984.385728953268,34.610972037263274,22.628541259585788,1.9999994450098446,0.0
33,6,subspace_k48,48,21,1008,42.0,40.08055007820589,4.956555449683702,3.1801170546624533,0.9282084966296582,0.53515625
33,6,subspace_k64,64,16,1024,42.0,24.546330832761367,3.863897896833768,1.7604285009524328,0.7335344773037215,0.62890625
33,7,full_dim,128,2,256,47.0,207.70655577697727,11.296570650943227,8.386464774109456,1.2531865084332974,0.37109375
33,7,subspace_k16,16,16,256,47.0,191.39453198424587,10.849217950248704,10.130625093488126,1.475502512360854,0.24609375
33,7,subspace_k32,32,8,256,47.0,131.37998335936913,9.01226269799118,6.88765323508794,1.2378667049461125,0.37890625
33,7,subspace_k48,48,5,240,47.0,97.33907715060744,7.703924429751504,5.346379348597182,1.082465483370833,0.4609375
33,7,subspace_k64,64,4,256,47.0,79.84037380974233,6.982341322409568,3.9643771549796436,0.9171254856901518,0.53515625
33,7,full_dim,128,4,512,47.0,8.008048598784715,2.2221856742831183,0.4065770503943039,0.3043383975209586,0.8671875
33,7,subspace_k16,16,32,512,47.0,2944.562795503911,42.51751619539418,22.727567199175787,1.9999993790396298,0.0
33,7,subspace_k32,32,16,512,47.0,131.43590623311204,9.01383037105277,6.878643932428686,1.2379630574333804,0.37109375
33,7,subspace_k48,48,11,528,47.0,95.75922859912167,7.644241895131909,5.222860375029065,1.0646327095711094,0.4765625
33,7,subspace_k64,64,8,512,47.0,72.59395052049129,6.657474202920243,3.7838717372644384,0.9541186203077903,0.50390625
33,7,full_dim,128,8,1024,47.0,0.02713480627805516,0.12945279185499373,0.001475876635479646,0.01905217685966394,0.98828125
33,7,subspace_k16,16,64,1024,47.0,3147.917968229927,44.57869871528922,5.340742726649572,1.9836112981001206,0.0234375
33,7,subspace_k32,32,32,1024,47.0,4074.8204352092207,49.629114892010676,22.778684940305567,1.999999976412834,0.0
33,7,subspace_k48,48,21,1008,47.0,95.76644412256638,7.644431715627768,5.222370813745124,1.0649193219328743,0.4765625
33,7,subspace_k64,64,16,1024,47.0,72.56323510516123,6.656270998322137,3.7984308460635026,0.9565037428385654,0.49609375
34,0,full_dim,128,2,256,49.0,345.9271266650064,14.618330276307894,11.765428198223622,1.3906480041112652,0.3046875
34,0,subspace_k16,16,16,256,49.0,347.8281592197301,14.656335875891667,10.714409224792504,1.4116315078526522,0.30078125
34,0,subspace_k32,32,8,256,49.0,241.02938704420643,12.18168653846854,8.488225439494073,1.2489323501230887,0.359375
34,0,subspace_k48,48,5,240,49.0,184.65696914782524,10.65979883603375,7.32805682773969,1.1546471905261049,0.4140625
34,0,subspace_k64,64,4,256,49.0,140.414409606679,9.300093144075653,5.571986595899391,1.0526384907768112,0.46484375
34,0,full_dim,128,4,512,49.0,14.161558919188947,2.949603875669326,0.7661199065784277,0.4003026652184006,0.78515625
34,0,subspace_k16,16,32,512,49.0,5708.469081873947,58.899776231470966,22.828434755396884,1.9999999988937698,0.0
34,0,subspace_k32,32,16,512,49.0,241.05938275208808,12.181823228609497,8.490741818851202,1.249074566377288,0.359375
34,0,subspace_k48,48,11,528,49.0,182.70673921997383,10.60124494131501,7.106446048388978,1.1261036442743322,0.44140625
34,0,subspace_k64,64,8,512,49.0,128.81362625800472,8.905832483771356,5.265016121781186,1.0059045325284992,0.48828125
34,0,full_dim,128,8,1024,49.0,0.05035687625404061,0.17647913526177153,0.0026432052005875496,0.024884951574537278,0.98828125
34,0,subspace_k16,16,64,1024,49.0,8331.595652976426,72.01206334228323,5.347942529719743,1.9843682755090124,0.00390625
34,0,subspace_k32,32,32,1024,49.0,8192.940219111944,69.82727398893206,22.782089908615625,1.9999949384724975,0.0
34,0,subspace_k48,48,21,1008,49.0,182.71424365378766,10.601467644536191,7.106654921187326,1.1264819558164336,0.44140625
34,0,subspace_k64,64,16,1024,49.0,128.86926358865418,8.907773128823058,5.236971663133267,0.99956760271558,0.4921875
34,1,full_dim,128,2,256,32.0,2355.535116123011,38.24961762494789,11.392513493928142,1.1281631189793457,0.4453125
34,1,subspace_k16,16,16,256,32.0,2269.354547706859,37.4637862097684,13.922969534090646,1.3867807621731603,0.3046875
34,1,subspace_k32,32,8,256,32.0,1028.7874890848625,25.18520268672237,8.548494585083798,1.0030868319930257,0.49609375
34,1,subspace_k48,48,5,240,32.0,548.1252342937851,18.453058564067348,5.774836534159765,0.752935839305002,0.625
34,1,subspace_k64,64,4,256,32.0,384.6998624665292,15.50645335804016,4.735405158688432,0.6249962477992104,0.6953125
34,1,full_dim,128,4,512,32.0,94.89461155904984,7.700307862487933,1.8703140705953367,0.3951390897837171,0.79296875
34,1,subspace_k16,16,32,512,32.0,52563.51715435856,181.60443960108896,22.95590240620892,1.9999999982314656,0.0
34,1,subspace_k32,32,16,512,32.0,1028.885601116514,25.18877479395865,8.54636238614193,0.9967364571304294,0.50390625
34,1,subspace_k48,48,11,528,32.0,530.3796799261439,18.15827616330705,5.755681857137661,0.7717366443995537,0.609375
34,1,subspace_k64,64,8,512,32.0,309.8522808674202,13.853404545680874,3.769528175025215,0.523819097920865,0.74609375
34,1,full_dim,128,8,1024,32.0,0.3197541602368758,0.4473294309731521,0.004273229952480517,0.01981560311378508,0.98828125
34,1,subspace_k16,16,64,1024,32.0,85873.60104705268,235.32355996395341,5.481741987487704,1.9902994984299704,0.0078125
34,1,subspace_k32,32,32,1024,32.0,42378.59502966134,162.13737330333134,22.9624154985486,2.0,0.0
34,1,subspace_k48,48,21,1008,32.0,530.3410370358379,18.157527651393345,5.7554474489099805,0.7713792222944864,0.61328125
34,1,subspace_k64,64,16,1024,32.0,309.73031530167697,13.85007520757364,3.775496729936461,0.5214604810932402,0.74609375
34,2,full_dim,128,2,256,30.0,2084.990342434361,35.99013843030996,11.3036459884154,1.1467467443169364,0.421875
34,2,subspace_k16,16,16,256,30.0,1930.143614305347,34.27963836416319,13.361602675351243,1.3446940873292268,0.328125
34,2,subspace_k32,32,8,256,30.0,827.4922634008626,22.5821420913875,7.479678281460355,0.9011610136262269,0.5390625
34,2,subspace_k48,48,5,240,30.0,466.2129451192056,16.976677950200404,4.583626167879108,0.6189811427342887,0.671875
34,2,subspace_k64,64,4,256,30.0,344.65258870373196,14.575727636925736,4.091196897355534,0.5943370741670895,0.6953125
34,2,full_dim,128,4,512,30.0,81.96171248432319,7.1242495751933195,1.1807847342383497,0.263639510520733,0.8671875
34,2,subspace_k16,16,32,512,30.0,35891.45433240526,149.46416647903249,22.963857843965013,1.9999999525550853,0.0
34,2,subspace_k32,32,16,512,30.0,826.9886801018502,22.577218896931672,7.471818727752744,0.8977758780178646,0.54296875
34,2,subspace_k48,48,11,528,30.0,451.04772439469633,16.694008920852774,4.433191984119429,0.6116180998406813,0.6953125
34,2,subspace_k64,64,8,512,30.0,253.349479174555,12.463148396318108,2.682149770765594,0.48309697809383834,0.7421875
34,2,full_dim,128,8,1024,30.0,0.2954339731064795,0.42733283791449606,0.0044664247719575535,0.019239373136070295,1.0
34,2,subspace_k16,16,64,1024,30.0,48976.02506785947,175.4182407305081,5.490554468824939,1.990237880317339,0.0
34,2,subspace_k32,32,32,1024,30.0,40910.88638561024,160.3552200929634,22.971227979885835,2.0,0.0
34,2,subspace_k48,48,21,1008,30.0,451.00142373129484,16.693252073359062,4.434731699868764,0.6115335655283799,0.6953125
34,2,subspace_k64,64,16,1024,30.0,252.68813201405763,12.442965731780552,2.6910620175741853,0.4858882103025117,0.7421875
34,3,full_dim,128,2,256,34.0,2169.065044243807,36.71250057875082,11.981716291645132,1.2352640388447003,0.38671875
34,3,subspace_k16,16,16,256,34.0,1939.192442086648,34.6181397975714,13.091649477928563,1.3688767877993675,0.3125
34,3,subspace_k32,32,8,256,34.0,938.0818447698159,24.111978042016837,8.65887056499908,1.0327979240709284,0.4921875
34,3,subspace_k48,48,5,240,34.0,570.6239248374679,18.775601306579503,5.386457266820116,0.7333883903289552,0.6328125
34,3,subspace_k64,64,4,256,34.0,427.7965420083428,16.26573519616236,4.957412379698763,0.7144111469826223,0.6484375
34,3,full_dim,128,4,512,34.0,87.07236940826068,7.376577484173087,1.4358392491321306,0.372279095839571,0.8046875
34,3,subspace_k16,16,32,512,34.0,72497.81259907351,210.87946398981174,22.947521862226672,1.9999999999997042,0.0
34,3,subspace_k32,32,16,512,34.0,937.2811474999341,24.102532651542482,8.669615143569585,1.0333924413191142,0.4921875
34,3,subspace_k48,48,11,528,34.0,550.4568201668926,18.44323688356475,5.2905844714524495,0.7156346872940932,0.6484375
34,3,subspace_k64,64,8,512,34.0,347.844562621508,14.6171329280778,3.8014057225268196,0.5968230973917024,0.70703125
34,3,full_dim,128,8,1024,34.0,0.29602460551166,0.42988335600948646,0.007902431461414552,0.03153107073378524,0.9765625
34,3,subspace_k16,16,64,1024,34.0,111452.63554610443,267.22634019722364,5.467603946545378,1.9899134277797548,0.0
34,3,subspace_k32,32,32,1024,34.0,42051.814372227964,163.20593669369924,22.94827745760627,2.0,0.0
34,3,subspace_k48,48,21,1008,34.0,550.371125557966,18.441984190995363,5.290609834950098,0.7160111314828341,0.6484375
34,3,subspace_k64,64,16,1024,34.0,348.01202845428054,14.619494417137703,3.8043910854452054,0.5971848528658235,0.69921875
34,4,full_dim,128,2,256,41.0,631.9934973271404,19.609861287330084,12.106905243169756,1.3141112280804885,0.34765625
34,4,subspace_k16,16,16,256,41.0,485.37301346018677,17.252397243155677,10.70311273892888,1.3123031069051114,0.33984375
34,4,subspace_k32,32,8,256,41.0,342.82671527111734,14.470371329538057,8.45436292168407,1.180097413395777,0.41015625
34,4,subspace_k48,48,5,240,41.0,245.0658997024248,12.219742280187642,6.742110168137585,0.9585995563634216,0.515625
34,4,subspace_k64,64,4,256,41.0,207.00204527021037,11.22636780499288,6.5770692812968665,0.9791501700203127,0.515625
34,4,full_dim,128,4,512,41.0,26.086621709681207,3.992049769011171,0.6674404232026192,0.33260428254497487,0.82421875
34,4,subspace_k16,16,32,512,41.0,14861.843924019064,95.62019819655474,22.9432472934527,1.9999999999996896,0.0
34,4,subspace_k32,32,16,512,41.0,342.45925836127236,14.463440162909976,8.434734063288335,1.181462023100933,0.40234375
34,4,subspace_k48,48,11,528,41.0,240.48172605203092,12.107714575188119,6.703556209080695,0.975399658911059,0.5
34,4,subspace_k64,64,8,512,41.0,185.66919565262856,10.620586234060688,5.662811331926061,0.9191460725390718,0.53515625
34,4,full_dim,128,8,1024,41.0,0.08683187826449874,0.23103049869608547,0.0015638439126629683,0.013266406180343247,0.99609375
34,4,subspace_k16,16,64,1024,41.0,21763.89182290737,115.61448794285491,5.462573967592886,1.9887067377185577,0.00390625
34,4,subspace_k32,32,32,1024,41.0,12510.42897220078,87.21681030056178,22.9432235283341,1.9999999944071067,0.0
34,4,subspace_k48,48,21,1008,41.0,240.45786256226484,12.106958239242111,6.699917127370767,0.9749212333813201,0.5
34,4,subspace_k64,64,16,1024,41.0,185.55586809323893,10.616131481984066,5.677034021535991,0.9219007599052642,0.5390625
34,5,full_dim,128,2,256,31.0,3749.761332913851,48.34467638112869,14.239077317436099,1.3648237661707898,0.32421875
34,5,subspace_k16,16,16,256,31.0,2907.2792757288144,42.45348975823953,12.033423163732888,1.2146321777972893,0.3984375
