n,T_h,rho,hamming_mean,hamming_std
4,0.03,0.0004,0.5874999999999999,0.026020824993326648
4,0.03,0.0005333333333333334,0.60625,0.027559909490256128
4,0.03,0.0006666666666666668,0.6020833333333334,0.03378598904213927
4,0.03,0.0008,0.6062500000000001,0.028792239502260918
4,0.03,0.0009333333333333333,0.6291666666666667,0.03703414340548162
4,0.03,0.0010666666666666667,0.5979166666666667,0.03378598904213928
4,0.03,0.0012000000000000001,0.59375,0.03903123748998999
4,0.03,0.0013333333333333335,0.6145833333333333,0.055551215108222425
4,0.03,0.0014666666666666667,0.5874999999999999,0.026020824993326665
4,0.03,0.0016,0.5979166666666667,0.045213613362938956
4,0.03,0.0017333333333333335,0.5916666666666667,0.02763853991962833
4,0.03,0.0018666666666666666,0.60625,0.033268165463898554
4,0.03,0.002,0.5958333333333333,0.07534642216677134
4,0.1,0.0,0.6145833333333334,0.032742153428128556
4,0.1,0.00013333333333333334,0.5854166666666667,0.03947353191978418
4,0.1,0.0002666666666666667,0.5958333333333334,0.029755951785595192
4,0.1,0.0004,0.5895833333333333,0.028792239502260925
4,0.1,0.0005333333333333334,0.6125,0.03796013991310123
4,0.1,0.0006666666666666668,0.6083333333333334,0.037267799624996496
4,0.1,0.0008,0.58125,0.03166392531993887
4,0.1,0.0009333333333333333,0.6062500000000001,0.03111080108972516
4,0.1,0.0010666666666666667,0.5874999999999999,0.016137430609197572
4,0.1,0.0012000000000000001,0.6020833333333333,0.028182810955143096
4,0.1,0.0013333333333333335,0.5895833333333333,0.0381312608702565
4,0.1,0.0014666666666666667,0.5958333333333334,0.023199018178458406
4,0.1,0.0016,0.58125,0.024206145913796363
4,0.1,0.0017333333333333335,0.59375,0.028792239502260942
4,0.1,0.0018666666666666666,0.6020833333333333,0.024206145913796356
4,0.1,0.002,0.6125,0.041457809879442475
8,0.001,0.0,0.5333333333333334,0.03726779962499651
8,0.001,0.00013333333333333334,0.4708333333333333,0.04468252206151505
8,0.001,0.0002666666666666667,0.4145833333333333,0.03578242507774514
8,0.001,0.0004,0.32708333333333334,0.03111080108972517
8,0.001,0.0005333333333333334,0.3375,0.07204840194079411
8,0.001,0.0006666666666666668,0.3375,0.04061164310337069
8,0.001,0.0008,0.3291666666666666,0.06909634979907082
8,0.001,0.0009333333333333333,0.325,0.052704627669473
8,0.001,0.0010666666666666667,0.2875,0.05877806658194117
8,0.001,0.0012000000000000001,0.34375,0.05460559342533816
8,0.001,0.0013333333333333335,0.33333333333333337,0.05
8,0.001,0.0014666666666666667,0.31875,0.033785989042139274
8,0.001,0.0016,0.325,0.04564354645876385
8,0.001,0.0017333333333333335,0.33125,0.052992072258237106
8,0.001,0.0018666666666666666,0.3104166666666667,0.07067998105703073
8,0.001,0.002,0.31875000000000003,0.052332736196168635
8,0.003,0.0,0.5645833333333333,0.051664986531821847
8,0.003,0.00013333333333333334,0.58125,0.02272648357215773
8,0.003,0.0002666666666666667,0.5708333333333333,0.03200477394945253
8,0.003,0.0004,0.5520833333333333,0.05428672591998076
8,0.003,0.0005333333333333334,0.5041666666666667,0.04621056877670591
8,0.003,0.0006666666666666668,0.4770833333333333,0.04854658415721268
8,0.003,0.0008,0.46458333333333335,0.05030290194854014
8,0.003,0.0009333333333333333,0.4,0.055901699437494755
8,0.003,0.0010666666666666667,0.4583333333333333,0.045643546458763846
8,0.003,0.0012000000000000001,0.3854166666666667,0.0536433049565989
8,0.003,0.0013333333333333335,0.3875,0.05384519993050037
8,0.003,0.0014666666666666667,0.41041666666666665,0.05947542676508417
8,0.003,0.0016,0.4520833333333334,0.05299207225823711
8,0.003,0.0017333333333333335,0.375,0.05137011669140815
8,0.003,0.0018666666666666666,0.3916666666666667,0.05400617248673218
8,0.003,0.002,0.4,0.042491829279939886
8,0.01,0.0,0.61875,0.042029668753816696
8,0.01,0.00013333333333333334,0.6125,0.030900827029565245
8,0.01,0.0002666666666666667,0.6041666666666667,0.02602082499332666
8,0.01,0.0004,0.6125,0.049826086429589155
8,0.01,0.0005333333333333334,0.5916666666666667,0.043301270189221905
8,0.01,0.0006666666666666668,0.575,0.03818813079129865
8,0.01,0.0008,0.59375,0.050646857421430054
8,0.01,0.0009333333333333333,0.5895833333333333,0.037209523123941136
8,0.01,0.0010666666666666667,0.5833333333333333,0.05400617248673215
8,0.01,0.0012000000000000001,0.5958333333333334,0.03307189138830738
8,0.01,0.0013333333333333335,0.6145833333333333,0.050988492710501716
8,0.01,0.0014666666666666667,0.5833333333333334,0.03004626062886657
8,0.01,0.0016,0.5979166666666667,0.06944097213541231
8,0.01,0.0017333333333333335,0.5729166666666666,0.03529390488770293
8,0.01,0.0018666666666666666,0.5354166666666667,0.06260408000548633
8,0.01,0.002,0.55,0.05527707983925666
8,0.03,0.0,0.63125,0.043650680916160346
8,0.03,0.00013333333333333334,0.60625,0.055237806598178556
8,0.03,0.0002666666666666667,0.59375,0.027559909490256145
