layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
9,2,oracle,64,4,256,2bit,0.00026099332279722715,0.01271699091467135,0.00012393079220718035,0.012370467347069059,0.708984375
9,2,transfer,64,4,256,2bit,0.0008691121314832462,0.023139105582657225,0.0002844921862641227,0.018292570220114983,0.533203125
9,2,full_dim,128,2,256,2bit,0.0016724646102590107,0.032456992726826596,0.0008328942898006253,0.032385300861838696,0.4794921875
9,2,oracle,64,8,512,4bit,0.00014933475136736513,0.009406707125015576,6.891945364207998e-05,0.008986501800117203,0.7529296875
9,2,transfer,64,8,512,4bit,0.000788248810634485,0.02201259258903992,0.00024077727996433884,0.01661058482549855,0.5517578125
9,2,full_dim,128,4,512,4bit,6.619822689682932e-05,0.006459546509629037,3.3018436720116885e-05,0.006452560159836067,0.8623046875
9,3,oracle,64,4,256,2bit,0.0006185941238534532,0.01958986798411403,0.00030748972326365565,0.019564903546046654,0.69140625
9,3,transfer,64,4,256,2bit,0.0018815145309348967,0.03279241243985588,0.0007715035953705914,0.029507329159942558,0.517578125
9,3,full_dim,128,2,256,2bit,0.0037750852593775763,0.04834534343015376,0.0018359242348992741,0.047758942369516055,0.5146484375
9,3,oracle,64,8,512,4bit,0.00040569806876774174,0.015397397777728585,0.00020066117944653698,0.015377915507688533,0.744140625
9,3,transfer,64,8,512,4bit,0.0017175026684570316,0.030944775871125492,0.0006859398323617998,0.027446059896442353,0.552734375
9,3,full_dim,128,4,512,4bit,0.0001442078573225927,0.009499356517310042,7.234770336786435e-05,0.009524993212509842,0.875
9,4,oracle,64,4,256,2bit,0.00054314293008328,0.018350470755802036,0.0002737980707480009,0.018456060181086413,0.6953125
9,4,transfer,64,4,256,2bit,0.0017298830413801532,0.031893877950536886,0.0007265888043937963,0.029081205043933064,0.494140625
9,4,full_dim,128,2,256,2bit,0.0035087174518827037,0.04688187209753815,0.001751485042033906,0.04675121255550354,0.4658203125
9,4,oracle,64,8,512,4bit,0.0003571072468909091,0.014446742423644089,0.00018084438276534141,0.01459406813763787,0.7646484375
9,4,transfer,64,8,512,4bit,0.001552724905513051,0.02997534385090648,0.0006320671364761222,0.026756111381490526,0.5810546875
9,4,full_dim,128,4,512,4bit,0.00014254036638558845,0.009380202924892226,7.072918341841992e-05,0.00934609294048366,0.8701171875
