method,target_sparsity,actual_sparsity,test_mse_mean,test_mse_std,seed
Magnitude,0.65,0.65,0.36197648775470975,0.0,7
Magnitude,0.75,0.75,0.5099378922530766,0.0,0
Magnitude,0.75,0.75,1.0206144485139421,0.0,1
Magnitude,0.75,0.75,0.5575766544873577,0.0,2
Magnitude,0.75,0.75,0.696631078402735,0.0,3
Magnitude,0.75,0.75,0.4865483006697445,0.0,4
Magnitude,0.75,0.75,1.4915320683481983,0.0,5
Magnitude,0.75,0.75,0.5591959850750892,0.0,6
Magnitude,0.75,0.75,0.5850310858306692,0.0,7
Magnitude,0.85,0.85,0.5513839168376571,0.0,0
Magnitude,0.85,0.85,0.8829440304702388,0.0,1
Magnitude,0.85,0.85,0.44949520798240694,0.0,2
Magnitude,0.85,0.85,0.9167110589968707,0.0,3
Magnitude,0.85,0.85,0.890791646334913,0.0,4
Magnitude,0.85,0.85,1.779972406480715,0.0,5
Magnitude,0.85,0.85,0.7745928150449131,0.0,6
Magnitude,0.85,0.85,0.775638024177223,0.0,7
Magnitude,0.9,0.9,0.5626189681772094,0.0,0
Magnitude,0.9,0.9,0.8490466390847018,0.0,1
Magnitude,0.9,0.9,0.4683532397676342,0.0,2
Magnitude,0.9,0.9,0.9795938663490388,0.0,3
Magnitude,0.9,0.9,0.9736125453236697,0.0,4
Magnitude,0.9,0.9,1.8088096474455355,0.0,5
Magnitude,0.9,0.9,0.6880229486999268,0.0,6
Magnitude,0.9,0.9,0.7959815429100685,0.0,7
Mag+Retrain,0.0,0.0,0.3066216575878796,0.0,0
Mag+Retrain,0.0,0.0,0.1496295564036804,0.0,1
Mag+Retrain,0.0,0.0,0.14272937431508861,0.0,2
Mag+Retrain,0.0,0.0,0.21544598201658635,0.0,3
Mag+Retrain,0.0,0.0,0.17828811001537748,0.0,4
Mag+Retrain,0.0,0.0,0.2250084701765408,0.0,5
Mag+Retrain,0.0,0.0,0.2634682649150269,0.0,6
Mag+Retrain,0.0,0.0,0.21608178836425088,0.0,7
Mag+Retrain,0.25,0.25,0.32055967571412736,0.0,0
Mag+Retrain,0.25,0.25,0.15041700074241587,0.0,1
Mag+Retrain,0.25,0.25,0.14723487081416886,0.0,2
Mag+Retrain,0.25,0.25,0.21106765780124676,0.0,3
Mag+Retrain,0.25,0.25,0.1844847181089098,0.0,4
Mag+Retrain,0.25,0.25,0.23179507368861726,0.0,5
Mag+Retrain,0.25,0.25,0.26696688555472176,0.0,6
Mag+Retrain,0.25,0.25,0.21664290609850143,0.0,7
