layer_a,layer_b,head_a,head_b,kv_type,metric_type,k_a,k_b,subspace_overlap
7,7,3,4,K,cross_head,23,36,0.38912200927734375
7,7,3,5,K,cross_head,23,20,0.3653131127357483
7,7,3,6,K,cross_head,23,22,0.4443965256214142
7,7,3,7,K,cross_head,23,18,0.40015894174575806
7,7,4,5,K,cross_head,36,20,0.3636492192745209
7,7,4,6,K,cross_head,36,22,0.3882487416267395
7,7,4,7,K,cross_head,36,18,0.35680633783340454
7,7,5,6,K,cross_head,20,22,0.38822025060653687
7,7,5,7,K,cross_head,20,18,0.3614087402820587
7,7,6,7,K,cross_head,22,18,0.4026923179626465
8,8,0,1,K,cross_head,17,20,0.3289714455604553
8,8,0,2,K,cross_head,17,21,0.3633508086204529
8,8,0,3,K,cross_head,17,20,0.324436217546463
8,8,0,4,K,cross_head,17,22,0.32056185603141785
8,8,0,5,K,cross_head,17,31,0.31161606311798096
8,8,0,6,K,cross_head,17,33,0.35672616958618164
8,8,0,7,K,cross_head,17,17,0.3420718312263489
8,8,1,2,K,cross_head,20,21,0.3348599076271057
8,8,1,3,K,cross_head,20,20,0.37182313203811646
8,8,1,4,K,cross_head,20,22,0.38630080223083496
8,8,1,5,K,cross_head,20,31,0.35877951979637146
8,8,1,6,K,cross_head,20,33,0.3756512403488159
8,8,1,7,K,cross_head,20,17,0.3689974248409271
8,8,2,3,K,cross_head,21,20,0.3616439700126648
8,8,2,4,K,cross_head,21,22,0.35191020369529724
8,8,2,5,K,cross_head,21,31,0.35319486260414124
8,8,2,6,K,cross_head,21,33,0.3902663588523865
8,8,2,7,K,cross_head,21,17,0.3524385392665863
8,8,3,4,K,cross_head,20,22,0.4035729467868805
8,8,3,5,K,cross_head,20,31,0.3820473849773407
8,8,3,6,K,cross_head,20,33,0.37736445665359497
8,8,3,7,K,cross_head,20,17,0.3586518168449402
8,8,4,5,K,cross_head,22,31,0.3934682011604309
8,8,4,6,K,cross_head,22,33,0.3862888514995575
8,8,4,7,K,cross_head,22,17,0.3705185353755951
8,8,5,6,K,cross_head,31,33,0.44225847721099854
8,8,5,7,K,cross_head,31,17,0.3634812831878662
8,8,6,7,K,cross_head,33,17,0.3311617076396942
9,9,0,1,K,cross_head,26,23,0.3215959370136261
9,9,0,2,K,cross_head,26,29,0.3854321241378784
9,9,0,3,K,cross_head,26,27,0.34194767475128174
9,9,0,4,K,cross_head,26,26,0.42723116278648376
9,9,0,5,K,cross_head,26,19,0.29310765862464905
9,9,0,6,K,cross_head,26,27,0.533918023109436
9,9,0,7,K,cross_head,26,29,0.5627866983413696
9,9,1,2,K,cross_head,23,29,0.382281094789505
9,9,1,3,K,cross_head,23,27,0.40023526549339294
9,9,1,4,K,cross_head,23,26,0.3754847049713135
9,9,1,5,K,cross_head,23,19,0.3784942626953125
9,9,1,6,K,cross_head,23,27,0.33644789457321167
9,9,1,7,K,cross_head,23,29,0.31191152334213257
9,9,2,3,K,cross_head,29,27,0.42834287881851196
9,9,2,4,K,cross_head,29,26,0.40897336602211
9,9,2,5,K,cross_head,29,19,0.3750104308128357
9,9,2,6,K,cross_head,29,27,0.38173770904541016
9,9,2,7,K,cross_head,29,29,0.38886934518814087
9,9,3,4,K,cross_head,27,26,0.3669646978378296
9,9,3,5,K,cross_head,27,19,0.3722267746925354
9,9,3,6,K,cross_head,27,27,0.3430125415325165
9,9,3,7,K,cross_head,27,29,0.33458399772644043
9,9,4,5,K,cross_head,26,19,0.3416864275932312
9,9,4,6,K,cross_head,26,27,0.4313550293445587
9,9,4,7,K,cross_head,26,29,0.4391326904296875
9,9,5,6,K,cross_head,19,27,0.28526005148887634
9,9,5,7,K,cross_head,19,29,0.27460232377052307
9,9,6,7,K,cross_head,27,29,0.5863490700721741
10,10,0,1,K,cross_head,34,24,0.38492974638938904
10,10,0,2,K,cross_head,34,22,0.3908577859401703
10,10,0,3,K,cross_head,34,30,0.43094852566719055
10,10,0,4,K,cross_head,34,37,0.4641641676425934
10,10,0,5,K,cross_head,34,24,0.3685363829135895
10,10,0,6,K,cross_head,34,22,0.3800821602344513
10,10,0,7,K,cross_head,34,27,0.433283269405365
10,10,1,2,K,cross_head,24,22,0.33000385761260986
10,10,1,3,K,cross_head,24,30,0.4014391005039215
10,10,1,4,K,cross_head,24,37,0.39189958572387695
10,10,1,5,K,cross_head,24,24,0.3282996416091919
10,10,1,6,K,cross_head,24,22,0.3745046555995941
10,10,1,7,K,cross_head,24,27,0.3577066957950592
10,10,2,3,K,cross_head,22,30,0.37366771697998047
10,10,2,4,K,cross_head,22,37,0.3753986060619354
10,10,2,5,K,cross_head,22,24,0.40868130326271057
10,10,2,6,K,cross_head,22,22,0.37151670455932617
10,10,2,7,K,cross_head,22,27,0.3736271858215332
10,10,3,4,K,cross_head,30,37,0.41998568177223206
10,10,3,5,K,cross_head,30,24,0.4006500542163849
10,10,3,6,K,cross_head,30,22,0.3537690341472626
10,10,3,7,K,cross_head,30,27,0.4151530861854553
10,10,4,5,K,cross_head,37,24,0.3565450608730316
10,10,4,6,K,cross_head,37,22,0.37108132243156433
10,10,4,7,K,cross_head,37,27,0.4106982946395874
10,10,5,6,K,cross_head,24,22,0.36461955308914185
10,10,5,7,K,cross_head,24,27,0.3983862102031708
10,10,6,7,K,cross_head,22,27,0.3831080496311188
11,11,0,1,K,cross_head,28,25,0.3828979432582855
11,11,0,2,K,cross_head,28,26,0.3990095853805542
11,11,0,3,K,cross_head,28,30,0.4027024209499359
11,11,0,4,K,cross_head,28,25,0.41809001564979553
11,11,0,5,K,cross_head,28,34,0.42566218972206116
11,11,0,6,K,cross_head,28,33,0.4094226062297821
11,11,0,7,K,cross_head,28,32,0.39168262481689453
11,11,1,2,K,cross_head,25,26,0.3822266459465027
11,11,1,3,K,cross_head,25,30,0.42733633518218994
11,11,1,4,K,cross_head,25,25,0.3839947581291199
11,11,1,5,K,cross_head,25,34,0.3951279819011688
11,11,1,6,K,cross_head,25,33,0.39471638202667236
11,11,1,7,K,cross_head,25,32,0.3993423581123352
11,11,2,3,K,cross_head,26,30,0.403116375207901
11,11,2,4,K,cross_head,26,25,0.4085575342178345
11,11,2,5,K,cross_head,26,34,0.40777772665023804
11,11,2,6,K,cross_head,26,33,0.3878355622291565
11,11,2,7,K,cross_head,26,32,0.43326643109321594
11,11,3,4,K,cross_head,30,25,0.40884506702423096
11,11,3,5,K,cross_head,30,34,0.426749587059021
11,11,3,6,K,cross_head,30,33,0.4300689399242401
11,11,3,7,K,cross_head,30,32,0.4192061424255371
11,11,4,5,K,cross_head,25,34,0.4327769875526428
11,11,4,6,K,cross_head,25,33,0.4128868579864502
11,11,4,7,K,cross_head,25,32,0.41644030809402466
11,11,5,6,K,cross_head,34,33,0.4550916254520416
11,11,5,7,K,cross_head,34,32,0.3908323645591736
11,11,6,7,K,cross_head,33,32,0.4309309124946594
12,12,0,1,K,cross_head,30,35,0.39764606952667236
12,12,0,2,K,cross_head,30,33,0.4021703600883484
12,12,0,3,K,cross_head,30,33,0.42059803009033203
12,12,0,4,K,cross_head,30,37,0.4398053288459778
12,12,0,5,K,cross_head,30,19,0.28515860438346863
12,12,0,6,K,cross_head,30,29,0.4274168312549591
12,12,0,7,K,cross_head,30,23,0.4009576141834259
12,12,1,2,K,cross_head,35,33,0.5124658346176147
12,12,1,3,K,cross_head,35,33,0.4962190091609955
12,12,1,4,K,cross_head,35,37,0.41572871804237366
12,12,1,5,K,cross_head,35,19,0.5319851040840149
12,12,1,6,K,cross_head,35,29,0.46598827838897705
12,12,1,7,K,cross_head,35,23,0.4091380536556244
12,12,2,3,K,cross_head,33,33,0.48671936988830566
12,12,2,4,K,cross_head,33,37,0.40401461720466614
12,12,2,5,K,cross_head,33,19,0.4558785557746887
12,12,2,6,K,cross_head,33,29,0.4328191578388214
12,12,2,7,K,cross_head,33,23,0.3705346882343292
12,12,3,4,K,cross_head,33,37,0.4328464865684509
12,12,3,5,K,cross_head,33,19,0.3752683401107788
12,12,3,6,K,cross_head,33,29,0.4508504867553711
12,12,3,7,K,cross_head,33,23,0.40039271116256714
12,12,4,5,K,cross_head,37,19,0.2915482223033905
12,12,4,6,K,cross_head,37,29,0.4180390238761902
12,12,4,7,K,cross_head,37,23,0.3840990364551544
12,12,5,6,K,cross_head,19,29,0.39894673228263855
12,12,5,7,K,cross_head,19,23,0.38410815596580505
12,12,6,7,K,cross_head,29,23,0.40906044840812683
13,13,0,1,K,cross_head,31,29,0.4343900680541992
13,13,0,2,K,cross_head,31,25,0.3762834072113037
13,13,0,3,K,cross_head,31,24,0.40309596061706543
13,13,0,4,K,cross_head,31,23,0.39285752177238464
13,13,0,5,K,cross_head,31,26,0.41501668095588684
13,13,0,6,K,cross_head,31,30,0.4782743453979492
13,13,0,7,K,cross_head,31,29,0.3592807948589325
13,13,1,2,K,cross_head,29,25,0.41068458557128906
13,13,1,3,K,cross_head,29,24,0.38906899094581604
13,13,1,4,K,cross_head,29,23,0.38565361499786377
13,13,1,5,K,cross_head,29,26,0.4212329685688019
13,13,1,6,K,cross_head,29,30,0.43002787232398987
13,13,1,7,K,cross_head,29,29,0.41693630814552307
13,13,2,3,K,cross_head,25,24,0.4030442535877228
13,13,2,4,K,cross_head,25,23,0.4251275956630707
13,13,2,5,K,cross_head,25,26,0.43427035212516785
13,13,2,6,K,cross_head,25,30,0.38288772106170654
13,13,2,7,K,cross_head,25,29,0.4256238043308258
13,13,3,4,K,cross_head,24,23,0.3937011659145355
13,13,3,5,K,cross_head,24,26,0.420560747385025
13,13,3,6,K,cross_head,24,30,0.3997616469860077
13,13,3,7,K,cross_head,24,29,0.381394624710083
13,13,4,5,K,cross_head,23,26,0.4112800061702728
13,13,4,6,K,cross_head,23,30,0.38310644030570984
13,13,4,7,K,cross_head,23,29,0.36600321531295776
13,13,5,6,K,cross_head,26,30,0.3953320384025574
13,13,5,7,K,cross_head,26,29,0.4130099415779114
13,13,6,7,K,cross_head,30,29,0.3969839811325073
14,14,0,1,K,cross_head,25,24,0.38735976815223694
14,14,0,2,K,cross_head,25,31,0.35140496492385864
14,14,0,3,K,cross_head,25,16,0.31589099764823914
14,14,0,4,K,cross_head,25,26,0.45611995458602905
14,14,0,5,K,cross_head,25,22,0.3706672489643097
14,14,0,6,K,cross_head,25,28,0.41682663559913635
