layer,head,token_range,top1_match,top5_jaccard,attn_kl,n_tokens
1,19,early,0.8052631578947368,0.8461152882205514,3.590582082324545e-06,190
1,19,late,0.7760416666666666,0.7487599206349206,3.7315023746486986e-06,192
1,20,early,0.9315789473684211,0.5930451127819548,4.374257059680531e-06,190
1,20,late,0.8020833333333334,0.4578373015873016,5.343627435649978e-06,192
1,21,early,0.9052631578947369,0.6199874686716793,3.477546897556749e-06,190
1,21,late,0.8958333333333334,0.5806671626984128,4.316993909014855e-06,192
1,22,early,0.868421052631579,0.6345238095238096,2.8394867968017934e-06,190
1,22,late,0.7760416666666666,0.5601438492063493,3.197401383658871e-06,192
1,23,early,0.6631578947368421,0.6400584795321638,1.0976306157317595e-06,190
1,23,late,0.5,0.5554315476190477,1.0698630603656056e-06,192
1,24,early,0.6526315789473685,0.6601503759398496,8.79953290677804e-07,190
1,24,late,0.5885416666666666,0.5786003637566138,8.524043551005889e-07,192
1,25,early,0.8894736842105263,0.7018796992481204,2.2117376374808373e-06,190
1,25,late,0.9375,0.544952876984127,2.1886967260797974e-06,192
1,26,early,0.8842105263157894,0.8790726817042607,2.0181189483992057e-06,190
1,26,late,0.8854166666666666,0.742332175925926,1.8895357243309263e-06,192
1,27,early,0.8736842105263158,0.7350877192982457,2.523905322959763e-06,190
1,27,late,0.8125,0.710875496031746,2.4741275410633534e-06,192
1,28,early,0.7105263157894737,0.7313492063492064,2.2471058400697075e-06,190
1,28,late,0.71875,0.5633680555555557,2.019123030549963e-06,192
1,29,early,0.5263157894736842,0.5421052631578948,1.6276150063276873e-06,190
1,29,late,0.484375,0.4420262896825397,1.5499878145419643e-06,192
1,30,early,0.6052631578947368,0.6360902255639098,2.6526533929427387e-06,190
1,30,late,0.6197916666666666,0.6400049603174603,2.4946605208242545e-06,192
1,31,early,0.5842105263157895,0.6688805346700084,1.5117399243536056e-06,190
1,31,late,0.53125,0.5242022156084656,1.381083052365284e-06,192
1,32,early,0.4631578947368421,0.5123851294903927,1.4554610743289231e-06,190
1,32,late,0.515625,0.43708664021164023,1.0920681461357162e-06,192
1,33,early,0.6526315789473685,0.6799081035923142,2.328864866285585e-06,190
1,33,late,0.671875,0.6546585648148149,2.1917333015153417e-06,192
1,34,early,0.4473684210526316,0.5690267335004178,2.2032543256500503e-06,190
1,34,late,0.5885416666666666,0.4675719246031746,2.0887407572445227e-06,192
1,35,early,0.631578947368421,0.6443817878028405,2.3470795440516667e-06,190
1,35,late,0.3854166666666667,0.40412119708994704,2.0926706838508835e-06,192
1,36,early,0.7789473684210526,0.6841478696741855,3.911889507435262e-06,190
1,36,late,0.78125,0.6098710317460317,3.4706042697507655e-06,192
1,37,early,0.8421052631578947,0.7982456140350879,1.4483971426670905e-06,190
1,37,late,0.8854166666666666,0.6959325396825397,1.2999963701076922e-06,192
1,38,early,0.8,0.6406015037593985,5.580233846558258e-06,190
1,38,late,0.6041666666666666,0.507750496031746,6.5650551732687745e-06,192
1,39,early,0.5947368421052631,0.6060359231411863,1.7179329461214365e-06,190
1,39,late,0.578125,0.511904761904762,1.673707060945162e-06,192
2,0,early,0.5105263157894737,0.5927318295739349,1.5805828297743574e-05,190
2,0,late,0.484375,0.5648354828042329,1.4280441973824054e-05,192
2,1,early,0.7052631578947368,0.6800751879699248,1.6289734048768878e-05,190
2,1,late,0.6979166666666666,0.5809771825396827,1.6513318769284524e-05,192
2,2,early,0.4368421052631579,0.5554302422723476,1.14610720629571e-05,190
2,2,late,0.9635416666666666,0.586123511904762,1.2890045582025778e-05,192
2,3,early,0.4473684210526316,0.5707602339181286,3.3971948141697794e-05,190
2,3,late,0.6197916666666666,0.6440972222222223,3.474747427389957e-05,192
2,4,early,0.47368421052631576,0.5565580618212197,1.5253299352480099e-05,190
2,4,late,0.4635416666666667,0.5213293650793651,1.67534890351817e-05,192
2,5,early,0.6210526315789474,0.6402255639097744,7.169342097768094e-06,190
2,5,late,0.421875,0.5596891534391535,7.291773272299906e-06,192
2,6,early,0.9315789473684211,0.8541353383458647,1.930419784912374e-05,190
2,6,late,0.921875,0.8680555555555555,1.981254172278568e-05,192
2,7,early,0.8210526315789474,0.7904135338345866,1.0529371138545685e-05,190
2,7,late,0.7083333333333334,0.7093874007936508,9.786494047148153e-06,192
2,8,early,0.6526315789473685,0.6207393483709274,8.57609757076716e-06,190
2,8,late,0.4739583333333333,0.5302992724867724,6.671617938991403e-06,192
2,9,early,0.9789473684210527,0.8671679197994987,1.0657455277396366e-05,190
2,9,late,0.8697916666666666,0.8333333333333334,1.1620970326475799e-05,192
2,10,early,0.7157894736842105,0.6092314118629909,7.229172297229525e-06,190
2,10,late,0.71875,0.5999710648148149,7.7031108958181e-06,192
2,11,early,0.5105263157894737,0.596282372598162,4.386747605167329e-06,190
2,11,late,0.4583333333333333,0.5419973544973545,4.095776148460573e-06,192
2,12,early,0.6368421052631579,0.6348579782790308,5.269288976705866e-06,190
2,12,late,0.578125,0.6760292658730158,5.170761596673401e-06,192
2,13,early,0.631578947368421,0.6612990810359232,5.333470653567929e-06,190
2,13,late,0.5208333333333334,0.6415550595238096,5.571891506406246e-06,192
2,14,early,0.6947368421052632,0.6725563909774438,5.311814220476663e-06,190
2,14,late,0.671875,0.6450272817460317,5.197224254516186e-06,192
2,15,early,0.8473684210526315,0.6830409356725148,1.0630003998812754e-05,190
2,15,late,0.734375,0.5831679894179894,1.1389110113668721e-05,192
2,16,early,0.5368421052631579,0.6916040100250628,7.0209111981967e-06,190
2,16,late,0.3333333333333333,0.4701760912698412,7.918489245639648e-06,192
2,17,early,0.5789473684210527,0.6231829573934837,6.782248874515062e-06,190
2,17,late,0.2760416666666667,0.3625578703703704,7.595304396090796e-06,192
2,18,early,0.631578947368421,0.6214285714285714,7.5185130299360026e-06,190
2,18,late,0.7083333333333334,0.5161210317460317,8.870915735315066e-06,192
2,19,early,0.7157894736842105,0.7023182957393485,1.428264567948645e-05,190
