T_h,n,rho,hamming_mean,hamming_std
3e-06,2,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
3e-06,2,9.090909090909092e-05,0.024999999999999998,0.03004626062886658
3e-06,2,0.00013636363636363637,0.03333333333333333,0.02545875386086578
3e-06,2,0.00018181818181818183,0.041666666666666664,0.02846375212766555
3e-06,2,0.0002272727272727273,0.05277777777777778,0.03524604872347088
3e-06,2,0.00027272727272727274,0.05833333333333333,0.03435921354681384
3e-06,2,0.0003181818181818182,0.06111111111111111,0.03142696805273545
3e-06,2,0.00036363636363636367,0.06111111111111111,0.03142696805273545
3e-06,2,0.00040909090909090913,0.08333333333333333,0.034694433324435545
3e-06,2,0.0004545454545454546,0.09166666666666666,0.0393817968854384
3e-06,2,0.0005,0.09444444444444444,0.03557291243018249
3e-06,4,0.0,0.25555555555555554,0.06285393610547088
3e-06,4,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
3e-06,4,9.090909090909092e-05,0.022222222222222223,0.026643508462848443
3e-06,4,0.00013636363636363637,0.03333333333333333,0.02545875386086578
3e-06,4,0.00018181818181818183,0.041666666666666664,0.03298428357510533
3e-06,4,0.0002272727272727273,0.044444444444444446,0.03286710990610898
3e-06,4,0.00027272727272727274,0.05277777777777778,0.032513055307554516
3e-06,4,0.0003181818181818182,0.06111111111111111,0.03142696805273545
3e-06,4,0.00036363636363636367,0.07777777777777778,0.029917582261858356
3e-06,4,0.00040909090909090913,0.07777777777777778,0.03557291243018249
3e-06,4,0.0004545454545454546,0.0861111111111111,0.03524604872347089
3e-06,4,0.0005,0.09444444444444444,0.041573970964154904
3e-06,8,0.0,0.2861111111111111,0.011453071182271277
3e-06,8,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
3e-06,8,9.090909090909092e-05,0.022222222222222223,0.026643508462848443
3e-06,8,0.00013636363636363637,0.036111111111111115,0.02437490107608923
3e-06,8,0.00018181818181818183,0.044444444444444446,0.029917582261858356
3e-06,8,0.0002272727272727273,0.04722222222222222,0.033907098932593624
3e-06,8,0.00027272727272727274,0.05555555555555555,0.02991758226185836
3e-06,8,0.0003181818181818182,0.05833333333333333,0.03938179688543841
3e-06,8,0.00036363636363636367,0.075,0.03154949081000152
3e-06,8,0.00040909090909090913,0.0861111111111111,0.040157867485558225
3e-06,8,0.0004545454545454546,0.09166666666666666,0.03568120160740314
3e-06,8,0.0005,0.09444444444444444,0.04374448818895451
1e-05,1,0.0,0.21388888888888888,0.04240093756242708
1e-05,1,4.545454545454546e-05,0.06944444444444443,0.05218970618904427
1e-05,1,9.090909090909092e-05,0.024999999999999998,0.03004626062886658
1e-05,1,0.00013636363636363637,0.03333333333333333,0.02545875386086578
1e-05,1,0.00018181818181818183,0.03888888888888889,0.028327886186626582
1e-05,1,0.0002272727272727273,0.044444444444444446,0.029917582261858356
1e-05,1,0.00027272727272727274,0.05555555555555555,0.03685138655950444
1e-05,1,0.0003181818181818182,0.05833333333333333,0.038188130791298666
1e-05,1,0.00036363636363636367,0.07222222222222223,0.03928371006591931
1e-05,1,0.00040909090909090913,0.075,0.036955929710139085
1e-05,1,0.0004545454545454546,0.08055555555555555,0.031056499687497078
1e-05,1,0.0005,0.09722222222222221,0.03390709893259362
1e-05,2,0.0,0.2722222222222222,0.022906142364542553
1e-05,2,4.545454545454546e-05,0.05277777777777778,0.026205503144601676
1e-05,2,9.090909090909092e-05,0.022222222222222223,0.026643508462848443
1e-05,2,0.00013636363636363637,0.036111111111111115,0.02437490107608923
1e-05,2,0.00018181818181818183,0.036111111111111115,0.02437490107608923
1e-05,2,0.0002272727272727273,0.049999999999999996,0.034694433324435545
1e-05,2,0.00027272727272727274,0.05277777777777778,0.03524604872347088
1e-05,2,0.0003181818181818182,0.06111111111111111,0.028327886186626582
1e-05,2,0.00036363636363636367,0.06666666666666667,0.037267799624996496
1e-05,2,0.00040909090909090913,0.07777777777777777,0.03142696805273545
1e-05,2,0.0004545454545454546,0.09444444444444444,0.040445054940447325
1e-05,2,0.0005,0.09999999999999999,0.0408248290463863
1e-05,4,0.0,0.25555555555555554,0.05152010275275391
1e-05,4,4.545454545454546e-05,0.05555555555555556,0.041573970964154904
1e-05,4,9.090909090909092e-05,0.030555555555555558,0.02791632116978025
1e-05,4,0.00013636363636363637,0.036111111111111115,0.02437490107608923
1e-05,4,0.00018181818181818183,0.041666666666666664,0.03298428357510533
1e-05,4,0.0002272727272727273,0.049999999999999996,0.03042903097250923
1e-05,4,0.00027272727272727274,0.05555555555555555,0.03685138655950444
1e-05,4,0.0003181818181818182,0.06388888888888888,0.029528182813151806
1e-05,4,0.00036363636363636367,0.07222222222222223,0.029917582261858356
1e-05,4,0.00040909090909090913,0.075,0.04054033199812896
1e-05,4,0.0004545454545454546,0.08888888888888889,0.03808697000222802
1e-05,4,0.0005,0.09444444444444444,0.041573970964154904
1e-05,8,0.0,0.2472222222222222,0.04129463540921806
1e-05,8,4.545454545454546e-05,0.05555555555555555,0.02290614236454256
1e-05,8,9.090909090909092e-05,0.024999999999999998,0.03004626062886658
1e-05,8,0.00013636363636363637,0.036111111111111115,0.029528182813151803
1e-05,8,0.00018181818181818183,0.03888888888888889,0.028327886186626582
1e-05,8,0.0002272727272727273,0.049999999999999996,0.03042903097250923
1e-05,8,0.00027272727272727274,0.05555555555555555,0.03286710990610898
1e-05,8,0.0003181818181818182,0.06666666666666667,0.03849001794597506
1e-05,8,0.00036363636363636367,0.07222222222222222,0.0355729124301825
1e-05,8,0.00040909090909090913,0.075,0.03154949081000152
1e-05,8,0.0004545454545454546,0.08333333333333333,0.02721655269759087
1e-05,8,0.0005,0.09444444444444444,0.04374448818895451
3e-05,1,0.0,0.18333333333333335,0.06309898162000305
3e-05,1,4.545454545454546e-05,0.21944444444444444,0.07163220532348681
3e-05,1,9.090909090909092e-05,0.12777777777777777,0.03142696805273544
3e-05,1,0.00013636363636363637,0.075,0.043832593994609724
3e-05,1,0.00018181818181818183,0.06388888888888888,0.032513055307554516
3e-05,1,0.0002272727272727273,0.06111111111111111,0.029917582261858356
3e-05,1,0.00027272727272727274,0.05277777777777778,0.03524604872347088
3e-05,1,0.0003181818181818182,0.05833333333333333,0.03154949081000152
3e-05,1,0.00036363636363636367,0.075,0.043832593994609724
3e-05,1,0.00040909090909090913,0.075,0.043832593994609724
3e-05,1,0.0004545454545454546,0.08333333333333333,0.041943524640393054
3e-05,1,0.0005,0.08333333333333333,0.041943524640393054
3e-05,2,0.0,0.19166666666666668,0.03938179688543841
3e-05,2,4.545454545454546e-05,0.17500000000000002,0.04276334532872403
