eta,rho,Hamming,rho_c_estimate
0.001,0.0075,0.44,0.009990995642754505
0.001,0.008,0.445,0.009990995642754505
0.001,0.0085,0.43,0.009990995642754505
0.001,0.009000000000000001,0.45,0.009990995642754505
0.001,0.0095,0.435,0.009990995642754505
0.001,0.01,0.455,0.009990995642754505
0.001,0.0105,0.445,0.009990995642754505
0.001,0.011,0.465,0.009990995642754505
0.001,0.0115,0.47,0.009990995642754505
0.001,0.012,0.46,0.009990995642754505
0.001,0.0125,0.48,0.009990995642754505
0.001,0.013000000000000001,0.485,0.009990995642754505
0.001,0.0135,0.47,0.009990995642754505
0.001,0.014,0.475,0.009990995642754505
0.001,0.0145,0.475,0.009990995642754505
0.001,0.015,0.485,0.009990995642754505
0.001,0.0155,0.48,0.009990995642754505
0.001,0.016,0.485,0.009990995642754505
0.001,0.0165,0.49,0.009990995642754505
0.001,0.017,0.475,0.009990995642754505
0.001,0.0175,0.49,0.009990995642754505
0.001,0.018000000000000002,0.495,0.009990995642754505
0.001,0.0185,0.48,0.009990995642754505
0.001,0.019,0.485,0.009990995642754505
0.001,0.0195,0.495,0.009990995642754505
0.001,0.02,0.48,0.009990995642754505
