layer,head,kv_type,method,k,n_bits,bits_per_vector,eff_rank_V_90,eff_rank_K_90,V_mse_logits,V_mae_logits,V_kl_divergence,V_l1_attention,V_top1_agreement
37,1,V,full_dim,128,2,256,60.0,40.0,7285.978801862285,67.1733508632031,12.581335621636756,1.1613700595730279,0.421875
37,1,V,subspace_k16,16,16,256,60.0,40.0,10428.54724880014,79.6176089957767,17.301930121170102,1.584211793690233,0.20703125
37,1,V,subspace_k32,32,8,256,60.0,40.0,7120.764050635437,66.10323021449574,14.219850760402114,1.3506988121597399,0.328125
37,1,V,subspace_k48,48,5,240,60.0,40.0,5210.798105070286,56.612199394868234,12.096129281382842,1.147886772883382,0.4296875
37,1,V,subspace_k64,64,4,256,60.0,40.0,4002.4747452469014,49.60181126939882,10.688884274470224,1.014980641595427,0.4921875
37,1,V,full_dim,128,4,512,60.0,40.0,276.38311905976934,13.131178022879112,1.9609187986170054,0.3306547002581935,0.828125
37,1,V,subspace_k16,16,32,512,60.0,40.0,100939.41815147048,249.51779099698547,22.999946762305033,2.0,0.0
37,1,V,subspace_k32,32,16,512,60.0,40.0,7122.437597159756,66.11127552414337,14.2166209212277,1.3540573604569075,0.32421875
37,1,V,subspace_k48,48,11,528,60.0,40.0,5141.859385285769,56.24981551288549,11.813113938922818,1.1591870126877963,0.41796875
37,1,V,subspace_k64,64,8,512,60.0,40.0,3732.5506856417587,47.90807844233085,10.096868485269715,0.9876062277443151,0.51171875
37,1,V,full_dim,128,8,1024,60.0,40.0,0.9808755138742664,0.780771965034186,0.004429497777967313,0.012108031752535692,0.99609375
37,1,V,subspace_k16,16,64,1024,60.0,40.0,124209.4630137452,281.32911511218936,5.519273251244137,1.9912368400418199,0.0
37,1,V,subspace_k32,32,32,1024,60.0,40.0,137784.1837527085,291.6634211765924,22.999946762305,1.9999999999999958,0.0
37,1,V,subspace_k48,48,21,1008,60.0,40.0,5141.920730829645,56.25043794883432,11.814013515768597,1.1587490865969865,0.421875
