N,M,alpha_ratio,sigma,eta,rho_c_empirical,rho_c_theory,ratio
240,240,1.0,0.01,0.0001,2.6342680911607046e-05,0.02,0.0013171340455803522
240,240,1.0,0.01,0.001,nan,0.06324555320336758,nan
240,240,1.0,0.1,1e-05,nan,0.006324555320336759,nan
240,240,1.0,0.1,0.0001,nan,0.02,nan
240,240,1.0,0.1,0.001,nan,0.06324555320336758,nan
240,480,2.0,0.001,1e-05,1.9091274170667414e-06,0.006324555320336759,0.0003018595490702558
240,480,2.0,0.001,0.0001,5.923099382027281e-06,0.02,0.00029615496910136407
240,480,2.0,0.001,0.001,9.378561332749373e-05,0.06324555320336758,0.0014828807493536163
240,480,2.0,0.01,1e-05,3.046446231451779e-06,0.006324555320336759,0.0004816854430312054
240,480,2.0,0.01,0.0001,1.3462472236294825e-05,0.02,0.0006731236118147412
240,480,2.0,0.01,0.001,0.00011069236004951205,0.06324555320336758,0.001750199886679434
240,480,2.0,0.1,1e-05,2.346931634936144e-05,0.006324555320336759,0.003710824739550509
240,480,2.0,0.1,0.0001,2.541694444416434e-05,0.02,0.001270847222208217
240,480,2.0,0.1,0.001,nan,0.06324555320336758,nan
240,960,4.0,0.001,1e-05,1.7552698431915943e-06,0.006324555320336759,0.0002775325306346016
240,960,4.0,0.001,0.0001,2.8985772146395313e-06,0.02,0.00014492886073197656
240,960,4.0,0.001,0.001,3.905669603162147e-05,0.06324555320336758,0.000617540586703918
240,960,4.0,0.01,1e-05,1.9006087903866671e-06,0.006324555320336759,0.0003005126359279702
240,960,4.0,0.01,0.0001,3.227182526591239e-06,0.02,0.00016135912632956194
240,960,4.0,0.01,0.001,3.419295632789216e-05,0.06324555320336758,0.000540638109654032
240,960,4.0,0.1,1e-05,1.6231882614774887e-05,0.006324555320336759,0.002566485988758906
240,960,4.0,0.1,0.0001,1.565497600944459e-05,0.02,0.0007827488004722295
240,960,4.0,0.1,0.001,4.45698978910801e-05,0.06324555320336758,0.0007047119620847419
240,1920,8.0,0.001,1e-05,9.692266328331268e-07,0.006324555320336759,0.00015324818643242086
240,1920,8.0,0.001,0.0001,1.1240927299579351e-06,0.02,5.620463649789675e-05
240,1920,8.0,0.001,0.001,1.9598377280905706e-05,0.06324555320336758,0.0003098775532547981
240,1920,8.0,0.01,1e-05,1.0088339980835815e-06,0.006324555320336759,0.00015951066074790295
240,1920,8.0,0.01,0.0001,1.3902982927585743e-06,0.02,6.951491463792872e-05
240,1920,8.0,0.01,0.001,1.6956542570270594e-05,0.06324555320336758,0.00026810647881830407
240,1920,8.0,0.1,1e-05,9.609459526400093e-06,0.006324555320336759,0.0015193889593313615
240,1920,8.0,0.1,0.0001,1.076677311753498e-05,0.02,0.000538338655876749
240,1920,8.0,0.1,0.001,1.7964360624791242e-05,0.06324555320336758,0.0002840414814149291
